eepsilon =0.1
psilon=0.75 
Epoch 001/350 | Train NLL: 63.4984 | Test NLL (best arm 2): 63.3215 | Bandit epsilon: 0.7500
Epoch 002/350 | Train NLL: 61.1207 | Test NLL (best arm 4): 60.6021 | Bandit epsilon: 0.7500
Epoch 003/350 | Train NLL: 59.7726 | Test NLL (best arm 6): 59.3555 | Bandit epsilon: 0.7500
Epoch 004/350 | Train NLL: 58.7474 | Test NLL (best arm 8): 58.4691 | Bandit epsilon: 0.7500
Epoch 005/350 | Train NLL: 57.9478 | Test NLL (best arm 10): 57.6296 | Bandit epsilon: 0.7500
Epoch 006/350 | Train NLL: 57.1663 | Test NLL (best arm 12): 56.9773 | Bandit epsilon: 0.7500
Epoch 007/350 | Train NLL: 56.4861 | Test NLL (best arm 14): 55.9889 | Bandit epsilon: 0.7500
Epoch 008/350 | Train NLL: 55.6088 | Test NLL (best arm 16): 55.0509 | Bandit epsilon: 0.7500
Epoch 009/350 | Train NLL: 54.7672 | Test NLL (best arm 18): 54.4677 | Bandit epsilon: 0.7500
Epoch 010/350 | Train NLL: 53.8758 | Test NLL (best arm 20): 53.2927 | Bandit epsilon: 0.7500
Epoch 011/350 | Train NLL: 52.8284 | Test NLL (best arm 22): 53.0848 | Bandit epsilon: 0.7500
Epoch 012/350 | Train NLL: 52.4689 | Test NLL (best arm 24): 52.1261 | Bandit epsilon: 0.7500
Epoch 013/350 | Train NLL: 51.5164 | Test NLL (best arm 26): 51.5704 | Bandit epsilon: 0.7500
Epoch 014/350 | Train NLL: 50.7480 | Test NLL (best arm 28): 50.8027 | Bandit epsilon: 0.7500
Epoch 015/350 | Train NLL: 50.1719 | Test NLL (best arm 30): 49.8080 | Bandit epsilon: 0.7500
Epoch 016/350 | Train NLL: 49.1881 | Test NLL (best arm 32): 49.8830 | Bandit epsilon: 0.7500
Epoch 017/350 | Train NLL: 48.7745 | Test NLL (best arm 34): 48.8982 | Bandit epsilon: 0.7500
Epoch 018/350 | Train NLL: 48.0794 | Test NLL (best arm 36): 47.8513 | Bandit epsilon: 0.7500
Epoch 019/350 | Train NLL: 47.3461 | Test NLL (best arm 38): 46.9679 | Bandit epsilon: 0.7500
Epoch 020/350 | Train NLL: 46.4300 | Test NLL (best arm 38): 45.8369 | Bandit epsilon: 0.7500
Epoch 021/350 | Train NLL: 45.4249 | Test NLL (best arm 38): 45.3658 | Bandit epsilon: 0.7500
Epoch 022/350 | Train NLL: 44.6455 | Test NLL (best arm 38): 44.2688 | Bandit epsilon: 0.7500
Epoch 023/350 | Train NLL: 44.1303 | Test NLL (best arm 38): 44.8592 | Bandit epsilon: 0.7500
Epoch 024/350 | Train NLL: 43.1960 | Test NLL (best arm 38): 43.3776 | Bandit epsilon: 0.7500
Epoch 025/350 | Train NLL: 42.4573 | Test NLL (best arm 38): 41.9800 | Bandit epsilon: 0.7500
Epoch 026/350 | Train NLL: 41.6936 | Test NLL (best arm 38): 41.4068 | Bandit epsilon: 0.7500
Epoch 027/350 | Train NLL: 41.0594 | Test NLL (best arm 38): 40.4993 | Bandit epsilon: 0.7500
Epoch 028/350 | Train NLL: 40.0751 | Test NLL (best arm 38): 39.5967 | Bandit epsilon: 0.7500
Epoch 029/350 | Train NLL: 39.5463 | Test NLL (best arm 38): 39.1720 | Bandit epsilon: 0.7500
Epoch 030/350 | Train NLL: 38.5230 | Test NLL (best arm 38): 38.0728 | Bandit epsilon: 0.7500
Epoch 031/350 | Train NLL: 38.2020 | Test NLL (best arm 38): 38.4898 | Bandit epsilon: 0.7500
Epoch 032/350 | Train NLL: 37.5337 | Test NLL (best arm 38): 37.3953 | Bandit epsilon: 0.7500
Epoch 033/350 | Train NLL: 36.8291 | Test NLL (best arm 38): 36.7028 | Bandit epsilon: 0.7500
Epoch 034/350 | Train NLL: 35.7852 | Test NLL (best arm 38): 35.8267 | Bandit epsilon: 0.7500
Epoch 035/350 | Train NLL: 34.8328 | Test NLL (best arm 38): 34.3273 | Bandit epsilon: 0.7500
Epoch 036/350 | Train NLL: 33.8655 | Test NLL (best arm 38): 33.3546 | Bandit epsilon: 0.7500
Epoch 037/350 | Train NLL: 33.7718 | Test NLL (best arm 38): 33.5481 | Bandit epsilon: 0.7500
Epoch 038/350 | Train NLL: 32.8038 | Test NLL (best arm 38): 32.3885 | Bandit epsilon: 0.7500
Epoch 039/350 | Train NLL: 32.3440 | Test NLL (best arm 38): 31.5914 | Bandit epsilon: 0.7500
Epoch 040/350 | Train NLL: 31.6597 | Test NLL (best arm 38): 30.8999 | Bandit epsilon: 0.7500
Epoch 041/350 | Train NLL: 31.2059 | Test NLL (best arm 38): 30.7704 | Bandit epsilon: 0.7500
Epoch 042/350 | Train NLL: 30.2047 | Test NLL (best arm 38): 29.5779 | Bandit epsilon: 0.7500
Epoch 043/350 | Train NLL: 29.0362 | Test NLL (best arm 38): 28.4848 | Bandit epsilon: 0.7500
Epoch 044/350 | Train NLL: 27.9962 | Test NLL (best arm 38): 27.4652 | Bandit epsilon: 0.7500
Epoch 045/350 | Train NLL: 27.9573 | Test NLL (best arm 38): 27.1953 | Bandit epsilon: 0.7500
Epoch 046/350 | Train NLL: 27.2840 | Test NLL (best arm 34): 26.6828 | Bandit epsilon: 0.7500
Epoch 047/350 | Train NLL: 26.3856 | Test NLL (best arm 36): 25.7469 | Bandit epsilon: 0.7500
Epoch 048/350 | Train NLL: 25.6342 | Test NLL (best arm 36): 25.5277 | Bandit epsilon: 0.7500
Epoch 049/350 | Train NLL: 25.2336 | Test NLL (best arm 36): 24.4474 | Bandit epsilon: 0.7500
Epoch 050/350 | Train NLL: 25.3611 | Test NLL (best arm 36): 25.0649 | Bandit epsilon: 0.7500
Epoch 051/350 | Train NLL: 24.0526 | Test NLL (best arm 36): 23.5587 | Bandit epsilon: 0.7500
Epoch 052/350 | Train NLL: 23.5708 | Test NLL (best arm 36): 22.6460 | Bandit epsilon: 0.7500
Epoch 053/350 | Train NLL: 22.4587 | Test NLL (best arm 36): 22.9332 | Bandit epsilon: 0.7500
Epoch 054/350 | Train NLL: 21.8678 | Test NLL (best arm 36): 21.1186 | Bandit epsilon: 0.7500
Epoch 055/350 | Train NLL: 21.2163 | Test NLL (best arm 36): 20.6952 | Bandit epsilon: 0.7500
Epoch 056/350 | Train NLL: 20.7734 | Test NLL (best arm 36): 21.2271 | Bandit epsilon: 0.7500
Epoch 057/350 | Train NLL: 19.8197 | Test NLL (best arm 36): 21.2902 | Bandit epsilon: 0.7500
Epoch 058/350 | Train NLL: 19.3800 | Test NLL (best arm 36): 18.4532 | Bandit epsilon: 0.7500
Epoch 059/350 | Train NLL: 17.8697 | Test NLL (best arm 36): 17.3041 | Bandit epsilon: 0.7500
Epoch 060/350 | Train NLL: 16.7188 | Test NLL (best arm 36): 16.3674 | Bandit epsilon: 0.7500
Epoch 061/350 | Train NLL: 17.0981 | Test NLL (best arm 36): 16.8740 | Bandit epsilon: 0.7500
Epoch 062/350 | Train NLL: 15.7208 | Test NLL (best arm 36): 15.3175 | Bandit epsilon: 0.7500
Epoch 063/350 | Train NLL: 15.9917 | Test NLL (best arm 36): 15.5953 | Bandit epsilon: 0.7500
Epoch 064/350 | Train NLL: 15.5451 | Test NLL (best arm 36): 15.6456 | Bandit epsilon: 0.7500
Epoch 065/350 | Train NLL: 14.6254 | Test NLL (best arm 36): 14.1798 | Bandit epsilon: 0.7500
Epoch 066/350 | Train NLL: 13.8394 | Test NLL (best arm 36): 14.2284 | Bandit epsilon: 0.7500
Epoch 067/350 | Train NLL: 13.1538 | Test NLL (best arm 36): 13.3934 | Bandit epsilon: 0.7500
Epoch 068/350 | Train NLL: 12.5713 | Test NLL (best arm 36): 11.8112 | Bandit epsilon: 0.7500
Epoch 069/350 | Train NLL: 11.1961 | Test NLL (best arm 36): 10.5988 | Bandit epsilon: 0.7500
Epoch 070/350 | Train NLL: 10.8847 | Test NLL (best arm 36): 10.6379 | Bandit epsilon: 0.7500
Epoch 071/350 | Train NLL: 9.4752 | Test NLL (best arm 36): 9.3532 | Bandit epsilon: 0.7500
Epoch 072/350 | Train NLL: 9.7019 | Test NLL (best arm 36): 9.6540 | Bandit epsilon: 0.7500
Epoch 073/350 | Train NLL: 8.6039 | Test NLL (best arm 36): 8.2225 | Bandit epsilon: 0.7500
Epoch 074/350 | Train NLL: 8.3826 | Test NLL (best arm 36): 10.2291 | Bandit epsilon: 0.7500
Epoch 075/350 | Train NLL: 8.1096 | Test NLL (best arm 36): 8.6541 | Bandit epsilon: 0.7500
Epoch 076/350 | Train NLL: 6.7877 | Test NLL (best arm 36): 6.5546 | Bandit epsilon: 0.7500
Epoch 077/350 | Train NLL: 5.2324 | Test NLL (best arm 36): 4.9865 | Bandit epsilon: 0.7500
Epoch 078/350 | Train NLL: 5.4262 | Test NLL (best arm 36): 4.6422 | Bandit epsilon: 0.7500
